city of reflections,Cecilia Garden | City of Reflections,forgery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Forgery%20Mondstadt.png
submerged valley,Cecilia Garden | Submerged Valley,forgery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Forgery%20Mondstadt.png
ruins of thirsting capital,Cecilia Garden | Ruins of Thirsting Capital ,forgery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Forgery%20Mondstadt.png
sunken sands,Court of Flowing Sand | Sunken Sands,forgery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Forgery%20Inazuma.png
altar of sands,Court of Flowing Sand | Altar of Sands,forgery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Forgery%20Inazuma.png
sand burial,Court of Flowing Sand | Sand Burial,forgery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Forgery%20Inazuma.png
thundercloud,Hidden Palace of Lianshan Formula | Thundercloud,forgery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Forgery%20Liyue.png
thundering ruins,Hidden Palace of Lianshan Formula | Thundering Ruins,forgery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Forgery%20Liyue.png
trial grounds of thunder,Hidden Palace of Lianshan Formula | Trial Grounds of Thunder,forgery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Forgery%20Liyue.png
tainted clouds,Tower of Abject Pride | Tainted Clouds,forgery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Forgery%20Sumeru.png
obsession,Tower of Abject Pride | Obsession,forgery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Forgery%20Sumeru.png
leading karma,Tower of Abject Pride | Leading Karma,forgery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Forgery%20Sumeru.png
desert citadel,City Of Gold | Desert Citadel,blessing,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Blessing%20Sumeru.png
forsaken rampart,Molten Iron Fortress | Forsaken Rampart,blessing,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Blessing%20Sumeru.png
blessing spring,Domain of Guyun | Spring,blessing,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Blessing%20Liyue.png
fires of purification,Midsummer Courtyard | Fires of Purification,blessing,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Blessing%20Mondstadt.png
dance of steel,Valley of Remembrance | Dance of Steel,blessing,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Blessing%20Mondstadt.png
blessing frost,Hidden Palace of Zhou Formula | Frost,blessing,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Blessing%20Liyue.png
autumn hunt,Momiji-Dyed Court | Autumn Hunt,blessing,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Blessing%20Inazuma.png
elegaic rime,Peak of Vindagnyr | Elegaic Rime,blessing,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Forgery%20Dragonspine.png
unyielding,Ridge Watch | Unyielding,blessing,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Blessing%20Liyue.png
necropolis,Slumbering Court | Necropolis,blessing,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Blessing%20Inazuma.png
seven senses,Spire of Solitary Enligtenment | Seven Senses,blessing,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Blessing%20Sumeru.png
machine nest,The Lost Valley | Machine Nest,blessing,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Blessing%20Liyue.png
stone chamber,Clear Pool and Mountain Cavern | Stone Chamber,blessing,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Blessing%20Liyue.png
frosted altar,Forsaken Rift | Frosted Altar,mastery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Mastery%20Mondstadt.png
frozen abyss,Forsaken Rift | Frozen Abyss,mastery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Mastery%20Mondstadt.png
realm of slumber,Forsaken Rift | Realm of Slumber,mastery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Mastery%20Mondstadt.png
full moon,Steeple of Ignorance | Full Moon,mastery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Mastery%20Sumeru.png
witticism,Steeple of Ignorance | Witticism,mastery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Mastery%20Sumeru.png
basket of discipline,Steeple of Ignorance | Basket of Discipline,mastery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Mastery%20Sumeru.png
altar of flames,Taishan Mansion | Altar of Flames,mastery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Mastery%20Liyue.png
heart of the flames,Taishan Mansion | Heart of the Flames,mastery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Mastery%20Liyue.png
circle of embers,Taishan Mansion | Circle of Embers,mastery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Mastery%20Liyue.png
reign of violet,Violet Court | Reign of Violet,mastery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Mastery%20Inazuma.png
thundering valley,Violet Court | Thundering Valley,mastery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Mastery%20Inazuma.png
vineinfested ruins,Violet Court | Vine-Infested Ruins,mastery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Mastery%20Inazuma.png
storming terror,Confront Stormterror | Memories: Storming Terror,trounce,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Bosses/Dvalin.png
earthshaking dragon,Beneath the Dragon-Queller | Memories: Earthshaking Dragon,trounce,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Bosses/Azhdaha.png
guardian of eternity,End of the Oneiric Euthemia | Memories: Guardian of Eternity,trounce,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Bosses/Magatsu%20Mitake%20Narukami%20no%20Mikoto.png
the golden shadow,Enter the Golden House | Memories: The Golden Shadow,trounce,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Bosses/Childe.png
lucent altar of the,Joururi Workshop | Memories: Lucent Altar of the Everlasting,trounce,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Bosses/Shouki.png
duel to the fiery,Narukami Island: Tenshukaku | Duel to the Fiery Death,trounce,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Bosses/Signora.png
too were once flawless,The Realm of Beginnings | Memories: "They" Too Were Once Flawless,trounce,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Bosses/Apep.png
harmony,Denouement of Sin | Harmony,blessing,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Blessing%20Fontaine.png
rhyming rhythm,Pale Forgotten Glory | Rhyming Rhythm,mastery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Mastery%20Fontaine.png
admonishing engraving,Pale Forgotten Glory | Admonishing Engraving,mastery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Mastery%20Fontaine.png
chiming recitation,Pale Forgotten Glory | Chiming Recitation,mastery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Mastery%20Fontaine.png
robotic ruse,Echoes of the Deep Tides | Robotic Ruse,forgery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Forgery%20Fontaine.png
artisanship,Echoes of the Deep Tides | Artisanship,forgery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Forgery%20Fontaine.png
curious contraptions,Echoes of the Deep Tides | Curious Contraptions,forgery,https://raw.githubusercontent.com/NatsumeLS/Genshin-Impact-Rich-Presence/main/assets/Domains/Forgery%20Fontaine.png